"Equipment Lease Contract","عقد تأجير المعدات"
"Asset","أصل"
"Customer","عميل"
"Supplier","مورد"
"Sales Invoice","فاتورة مبيعات"
"Subscription","اشتراك"
"Payment Terms","شروط الدفع"
"Timesheet","جدول دوام"
"Purchase Invoice","فاتورة شراء"
"Journal Entry","قيد يومية"
"Maintenance Request","طلب صيانة"
"Maintenance Visit","زيارة صيانة"
"Maintenance Schedule","جدول صيانة"
"Asset Capitalization","رسملة أصل"
"Profit and Loss Statement","بيان الأرباح والخسائر"
"Balance Sheet","الميزانية العمومية"
"Cost Center","مركز تكلفة"
"Employee","موظف"
"Role Permissions Manager","مدير صلاحيات الأدوار"
"Workflow","سير العمل"
"Customize Form","تخصيص نموذج"
"Server Scripts","سكربتات الخادم"
"Email Alert","تنبيه بالبريد الإلكتروني"
"Workspace","مساحة العمل"
"Dashboard","لوحة المعلومات"
"Shortcut Cards","بطاقات الاختصار"
"Sections","أقسام"
"Reports","تقارير"
"Draft","مسودة"
"Pending Approval","بانتظار الموافقة"
"Approved","تمت الموافقة"
"Rejected","مرفوض"
"Cancelled","ملغى"
"Active","نشط"
"Completed","مكتمل"
"Submit for Approval","تقديم للموافقة"
"Approve","موافقة"
"Reject","رفض"
"Activate Contract","تفعيل العقد"
"Complete Contract","إكمال العقد"
"Cancel","إلغاء"
"Revise and Resubmit","مراجعة وإعادة تقديم"
"Open","مفتوح"
"In Progress","قيد التنفيذ"
"Pending Spares","بانتظار قطع الغيار"
"Start Work","بدء العمل"
"Mark as Pending Spares","وضع كـ بانتظار قطع الغيار"
"Resume Work","استئناف العمل"
"Complete","إكمال"
"Purchase Order","أمر شراء"
"Submit","تقديم"
"Revise","مراجعة"
"Account","حساب"
"Income","إيرادات"
"Expense","مصروفات"
"Direct Expenses","مصروفات مباشرة"
"Indirect Expenses","مصروفات غير مباشرة"
"Fuel Expenses - Equipment","مصاريف وقود المعدات"
"Maintenance Expenses - Equipment","مصاريف صيانة المعدات"
"Spare Parts Expenses - Equipment","مصاريف قطع غيار المعدات"
"Operator Accommodation Expenses","مصاريف سكن السائقين"
"Operator Food Expenses","مصاريف تغذية السائقين"
"Transportation Expenses - Equipment","مصاريف نقل المعدات"
"Insurance Expenses - Equipment","مصاريف تأمين المعدات"
"License & Registration Fees - Equipment","رسوم تراخيص وتسجيل المعدات"
"Depreciation Expense - Equipment","مصروف إهلاك المعدات"
"Rental Income - Equipment","إيرادات تأجير المعدات"
